Journal,ISSN,EISSN,Category
International Journal of Energy Research,0363-907X,1099-114X,NST
Journal of Nuclear Materials,0022-3115,1873-4820,NST
International Journal of Radiation Biology,0955-3002,1362-3095,NST
Nuclear Materials and Energy,2352-1791,,NST
Radiation Physics and Chemistry,0969-806X,,NST
Progress in Nuclear Energy,0149-1970,,NST
Nuclear Engineering and Technology,1738-5733,2234-358X,NST
Nuclear Engineering and Design,0029-5493,,NST
Fusion Engineering and Design,0920-3796,,NST
Radiation Measurements,1350-4487,1879-0925,NST
"Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",0168-9002,,NST
IEEE Transactions on Nuclear Science,0018-9499,,NST
Fusion Science and Technology,1536-1055,1943-7641,NST
Annals of Nuclear Energy,0306-4549,1873-2100,NST
Applied Radiation and Isotopes,0969-8043,1872-9800,NST
Radiochimica Acta,0033-8230,,NST
Journal of Radiological Protection,0952-4746,1361-6498,NST
Journal of Nuclear Science and Technology,0022-3131,1881-1248,NST
"Nuclear Instruments and Methods in Physics Research, Section B: Beam Interactions with Materials and Atoms",0168-583X,,NST
Journal of Radioanalytical and Nuclear Chemistry,0236-5731,1588-2780,NST
Science and Technology of Nuclear Installations,1687-6075,1687-6083,NST
Nuclear Science and Engineering,0029-5639,1943-748X,NST
Health Physics,0017-9078,,NST
Nuclear Science and Techniques,1001-8042,,NST
Nuclear Technology,0029-5450,1943-7471,NST
Radiation Protection Dosimetry,0144-8420,,NST
Journal of Fusion Energy,0164-0313,1572-9591,NST
Radiation Effects and Defects in Solids,1042-0150,1029-4953,NST
Nuclear Technology and Radiation Protection,1451-3994,1452-8185,NST
Radioprotection,0033-8451,,NST
Atomic Energy,1063-4258,1573-8205,NST
Kerntechnik,0932-3902,,NST
ATW-International Journal for Nuclear Power,1431-5254,,NST
Nuclear Engineering International,0029-5507,,NST
Progress in Particle and Nuclear Physics,0146-6410,,NP
Annual Review of Nuclear and Particle Science,0163-8998,1545-4134,NP
Atomic Data and Nuclear Data Tables,0092-640X,1090-2090,NP
Chinese Physics C,1674-1137,,NP
Nuclear Data Sheets,0090-3752,1095-9904,NP
"Physics Letters, Section B: Nuclear, Elementary Particle and High-Energy Physics",0370-2693,1873-2445,NP
Journal of Physics G: Nuclear and Particle Physics,0954-3899,1361-6471,NP
Physical Review C,2469-9985,2469-9993,NP
European Physical Journal A,1434-6001,1434-601X,NP
Physical Review Accelerators and Beams,2469-9888,,NP
Nuclear Physics A,0375-9474,,NP
International Journal of Modern Physics E,0218-3013,1793-6608,NP
Modern Physics Letters A,0217-7323,1793-6632,NP
International Journal of Modern Physics A,0217-751X,1793-656X,NP
Nukleonika,0029-5922,1508-5791,NP
Physics of Atomic Nuclei,1063-7788,1562-692X,NP
Mechanical System and Signal Processing,0888-3270,1096-1216,OT
Structural Health Monitoring,1475-9217,,OT
IEEE Transactions On Ultrasonics Ferroelectrics And Frequency Control,0885-3010,,OT
Smart Materials And Structures,0964-1726,1361-665X,OT
NDT and E International,0963-8695,,OT
Journal of Instrumentation,1748-0221,,OT
Reliability Engineering and System Safety,0951-8320,,OT
Risk Analysis,0272-4332,1539-6924,OT
Nature,0028-0836,1476-4687,OT
Science,0036-8075,1095-9203,OT
Physical Review Letters,0031-9007,1079-7114,OT
Journal of Computational Physics,0021-9991,1090-2716,OT
